R 	 chi2 
0.001	45.7948654468
0.021	42.5123086404
0.041	39.497331637
0.061	36.7157809205
0.081	34.1402644589
0.101	31.7483907844
0.121	29.5215605447
0.141	27.444111977
0.161	25.5027009033
0.181	23.6858407608
0.201	21.9835546754
0.221	20.3871077647
0.241	18.888798042
0.261	17.4817908871
0.281	16.1599864219
0.301	14.9179120903
0.321	13.7506347963
0.341	12.6536883928
0.361	11.623013349
0.381	10.6549061728
0.401	9.74597671696
0.421	8.89311191019
0.441	8.09344476323
0.461	7.34432773082
0.481	6.64330971315
0.501	5.98811608834
0.521	5.37663130848
0.541	4.80688366237
0.561	4.27703188282
0.581	3.78535333086
0.601	3.33023354088
0.621	2.91015690535
0.641	2.52369842315
0.661	2.16951627949
0.681	1.84634521489
0.701	1.5529905616
0.721	1.28832286961
0.741	1.05127305212
0.761	0.840827989914
0.781	0.656026550102
0.801	0.495955929114
0.821	0.35974838817
0.841	0.246578208401
0.861	0.15565893549
0.881	0.0862408487832
0.901	0.037608637769
0.921	0.00907926538792
0.941	0.0
0.961	0.00974659989643
0.981	0.0377216325056
1.001	0.0833529335363
1.021	0.146092156462
1.041	0.22541344562
1.061	0.320812196016
1.081	0.431803901151
1.101	0.557923080179
1.121	0.698722277766
1.141	0.853771130689
1.161	1.02265549576
1.181	1.20497663422
1.201	1.40035044812
1.221	1.60840671507
1.241	1.82878860139
1.261	2.06115177324
1.281	2.30516396634
1.301	2.56050439062
1.321	2.82686320577
1.341	3.10394102719
1.361	3.39144846004
1.381	3.68910565962
1.401	3.99664191621
1.421	4.31379526268
1.441	4.64031210345
1.461	4.97594673172
1.481	5.32046149622
1.501	5.67362577287
1.521	6.0352161199
1.541	6.40501588565
1.561	6.78281493926
1.581	7.16840941488
1.601	7.56160146853
1.621	7.96219904678
1.641	8.3700156667
1.661	8.78487020624
1.681	9.20658670462
1.701	9.63499417201
1.721	10.069926408
1.741	10.5112215209
1.761	10.9587229449
1.781	11.4122775742
1.801	11.8717367106
1.821	12.3369556538
1.841	12.8077935639
1.861	13.2841133291
1.881	13.7657814395
1.901	14.2526678664
1.921	14.7446459461
1.941	15.2415922692
1.961	15.743386574
1.981	16.2499116444
